donorName,integrated,genderOnly,climateOnly,neither,integratedFunding,genderOnlyFunding,climateOnlyFunding,neitherFunding,totalProjects,totalFunding,integratedShare,projectCount,archetype
Mastercard Foundation,15,210,49,0,391.9,1015.02,232.59,0,274,1639.51,0.0547,274,Gender-First Integrator
Global Environment Facility,347,1433,611,0,119.41,810.78,404.53,0,2391,1334.72,0.1451,2391,Siloed Approach
Climate Investment Funds,0,27,259,0,0.0,9.48,1313.4,0,286,1322.88,0.0,286,Climate Specialist
Children's Investment Fund Foundation,6,813,828,0,3.15,503.85,727.73,0,1647,1234.73,0.0036,1647,Siloed Approach
UNDP,0,6268,0,0,0.0,1197.25,0.0,0,6268,1197.25,0.0,6268,Gender-First Integrator
UN Peacebuilding Fund,0,1469,0,0,0.0,1006.63,0.0,0,1469,1006.63,0.0,1469,Gender-First Integrator
Luxembourg,871,2830,224,0,270.04,664.76,39.18,0,3925,973.98,0.2219,3925,Gender-First Integrator
Food and Agriculture Organisation,1336,1404,1665,0,96.75,136.71,620.08,0,4405,853.54,0.3033,4405,Sequential Builder
Council of Europe Development Bank,0,0,28,0,0.0,0.0,817.89,0,28,817.89,0.0,28,Climate Specialist
Private Infrastructure Development Group,34,17,226,0,141.03,106.88,559.54,0,277,807.45,0.1227,277,Climate Specialist
IKEA Foundation,25,13,224,0,79.73,9.37,637.68,0,262,726.78,0.0954,262,Climate Specialist
William and Flora Hewlett Foundation,11,505,470,0,10.81,243.23,446.3,0,986,700.34,0.0112,986,Siloed Approach
International Labour Organisation,15,12100,4,0,0.57,644.4,1.49,0,12119,646.46,0.0012,12119,Gender-First Integrator
Adaptation Fund,86,0,273,0,167.11,0.0,444.69,0,359,611.8,0.2396,359,Climate Specialist
Dutch Postcode Lottery,44,75,67,0,124.77,167.12,239.51,0,186,531.4,0.2366,186,Siloed Approach
David and Lucile Packard Foundation,11,490,318,0,2.21,176.09,332.85,0,819,511.15,0.0134,819,Siloed Approach
Arab Fund (AFESD),7,111,99,0,9.5,252.21,234.18,0,217,495.89,0.0323,217,Siloed Approach
Portugal,68,996,269,0,7.59,415.64,65.81,0,1333,489.04,0.051,1333,Gender-First Integrator
Ford Foundation,27,1531,244,0,5.18,390.17,78.0,0,1802,473.35,0.015,1802,Gender-First Integrator
Rockefeller Foundation,11,32,223,0,44.1,21.85,349.18,0,266,415.13,0.0414,266,Climate Specialist
Nordic Development Fund,275,0,18,0,393.03,0.0,17.27,0,293,410.3,0.9386,293,Natural Integrator
Hungary,24,572,180,0,0.95,326.66,46.16,0,776,373.77,0.0309,776,Gender-First Integrator
Oak Foundation,5,157,83,0,74.03,172.4,121.19,0,245,367.62,0.0204,245,Siloed Approach
Iceland,212,681,97,0,110.85,210.87,21.53,0,990,343.25,0.2141,990,Siloed Approach
UN Women,0,329,0,0,0.0,274.86,0.0,0,329,274.86,0.0,329,Gender-First Integrator
John D. and Catherine T. MacArthur Foundation,2,217,257,0,0.5,77.21,185.23,0,476,262.94,0.0042,476,Siloed Approach
Czechia,138,929,426,0,20.49,159.12,49.46,0,1493,229.07,0.0924,1493,Siloed Approach
Wellcome Trust,4,88,73,0,0.93,126.32,99.43,0,165,226.68,0.0242,165,Siloed Approach
Open Society Foundations,12,883,165,0,5.93,138.7,39.05,0,1060,183.68,0.0113,1060,Gender-First Integrator
Swedish Postcode Lottery,29,69,20,0,50.65,103.8,27.39,0,118,181.84,0.2458,118,Siloed Approach
Saudi Arabia,0,67,0,0,0.0,178.76,0.0,0,67,178.76,0.0,67,Gender-First Integrator
CGIAR,28,1,35,0,58.74,1.82,102.78,0,64,163.34,0.4375,64,Sequential Builder
