recipientName,integrated,genderOnly,climateOnly,neither,totalFunding,totalProjects,integratedShare
"Central Asia, regional",236,787,304,0,1396.43,1327,0.1778
"Far East Asia, regional",276,659,399,0,1268.36,1334,0.2069
Libya,32,1051,40,0,1254.11,1123,0.0285
Montenegro,69,684,265,0,1210.6,1018,0.0678
Bhutan,83,585,202,0,1060.4,870,0.0954
Algeria,172,1356,202,0,1057.69,1730,0.0994
Congo,106,833,135,0,986.67,1074,0.0987
Vanuatu,146,416,146,0,954.63,708,0.2062
Guyana,54,403,106,0,895,563,0.0959
Belarus,51,959,171,0,868.15,1181,0.0432
"South Asia, regional",154,741,189,0,855.07,1084,0.1421
Cuba,422,1407,316,0,799.94,2145,0.1967
Chile,32,374,130,0,774.65,536,0.0597
Botswana,75,616,31,0,763.47,722,0.1039
Guinea Bissau,183,1214,108,0,676.73,1505,0.1216
Djibouti,92,495,125,0,653.32,712,0.1292
Tonga,49,327,140,0,629,516,0.095
Cabo Verde,125,641,232,0,616.37,998,0.1253
Gambia,83,806,95,0,601.6,984,0.0843
Kiribati,72,269,129,0,524.66,470,0.1532
Samoa,64,417,100,0,516.87,581,0.1102
Venezuela,81,1054,57,0,514.59,1192,0.068
"South & Central Asia, regional",98,265,104,0,508.22,467,0.2099
Maldives,16,521,69,0,492.77,606,0.0264
Lesotho,91,570,43,0,473.5,704,0.1293
Eswatini,90,678,68,0,419.38,836,0.1077
Gabon,17,356,73,0,404.59,446,0.0381
Suriname,21,263,33,0,391.43,317,0.0662
Comoros,64,608,88,0,379.06,760,0.0842
Iran,41,602,162,0,342.19,805,0.0509
"Middle Africa, regional",38,54,43,0,327.4,135,0.2815
"Central America, regional",95,335,100,0,301.82,530,0.1792
Micronesia,31,83,35,0,287.68,149,0.2081
"Southern Africa, regional",63,245,85,0,284.4,393,0.1603
Montserrat,11,48,32,0,276.47,91,0.1209
Tuvalu,42,101,73,0,276.22,216,0.1944
Sao Tome and Principe,71,485,69,0,257.33,625,0.1136
Eritrea,88,589,42,0,247.22,719,0.1224
Belize,34,347,60,0,238.94,441,0.0771
Democratic People's Republic of Korea,24,255,32,0,231.83,311,0.0772
Palau,8,80,48,0,209.33,136,0.0588
Nauru,3,81,53,0,199.86,137,0.0219
Dominica,41,94,55,0,192.37,190,0.2158
Uruguay,8,274,35,0,185.62,317,0.0252
Marshall Islands,19,96,70,0,164.15,185,0.1027
Malaysia,41,499,206,0,138.64,746,0.055
Saint Lucia,40,133,35,0,136.55,208,0.1923
Cook Islands,1,80,34,0,136,115,0.0087
Turkmenistan,8,265,33,0,107.26,306,0.0261
Grenada,8,74,33,0,103.45,115,0.0696
Saint Helena,0,36,40,0,98.86,76,0
States Ex-Yugoslavia unspecified,17,43,45,0,79.82,105,0.1619
Saint Vincent and the Grenadines,69,102,12,0,66.27,183,0.377
Seychelles,3,32,13,0,64.67,48,0.0625
Niue,11,64,23,0,54.14,98,0.1122
Antigua and Barbuda,9,30,18,0,47.22,57,0.1579
Tokelau,7,60,14,0,36.47,81,0.0864
Equatorial Guinea,21,316,23,0,36.33,360,0.0583
"Melanesia, regional",1,7,19,0,22,27,0.037
"Micronesia, regional",0,2,2,0,5.18,4,0
Wallis and Futuna,1,9,9,0,2.33,19,0.0526
"Polynesia, regional",2,2,1,0,1.52,5,0.4
